title,price,rating,availability
PS5 God of War: Ragnarok Collector's Edition,"₹13,499.00",4.6 out of 5 stars,In stock.
God Of War Ragnarok | Launch Edition | PS5 Game (PlayStation 5),"₹4,999.00",4.5 out of 5 stars,In stock.
Sonic Frontiers | Standard Edition | PlayStation 5 (PS5),"₹3,499.00",,In stock.
Unchartered: Legacy of Thieves Collection | PS5 Game (PlayStation 5),"₹1,560.00",4.3 out of 5 stars,In stock.
PlayStation 5 – The Best Hidden Features and Essential Tips and Tricks (Bonus: 27 Voice Commands),,,NOt Avaliablity
Sony DualSense Wireless Controller for PlayStation 5 (White),"₹5,098.00",4.5 out of 5 stars,In stock.
PS5 Grand Theft Auto V,"₹2,190.00",4.4 out of 5 stars,In stock.
Need For Speed Unbound | Standard Edition | Playstation 5 (PS5),"₹4,410.00",,
Ghost of Tsushima | Director's Cut | PS5 Game (PlayStation 5),"₹2,349.00",,Only 2 left in stock.
PS5 WWE 2K22,"₹2,299.00",,Only 1 left in stock.
WALLTON PS5 Skin Protective Wrap Cover Vinyl Sticker Decals for PlayStation 5 Disk Version Console and Two Dual Sense 5 Sticker Skins Black PS5 Skin - Bomb Sticker,₹699.00,,In stock.
DualSense™ charging station - (PlayStation®5),"₹2,499.00",4.7 out of 5 stars,In stock.
Gran Turismo 7 | Standard Edition | PS5 Game (PlayStation 5),"₹2,702.00",,In stock.
Fortnite: Anime Legends | Standard Edition | PlayStation 5 (PS5) (Code in Box),"₹1,499.00",,In stock.
DualSense Wireless Controller Red (PlayStation 5),"₹5,399.00",4.5 out of 5 stars,In stock.
"PlayStation 5 Gaming Guide: Overview of the best PS5 video games, hardware and accessories (Good Game Guides)",,,NOt Avaliablity
Far Cry 6 | Standard Edition | Playstation 5 (PS5),"₹2,006.00",,In stock.
"Microware PS5 Controller Charging Station Compatible with PS5 Controller, Dobe Playstation 5 PS5 Controller Charger Dock Station with Fast Charging Speed in 2 Hours,PS5 Remote Charger Station","₹2,999.00",,Only 2 left in stock.
